Item_Identifier;ID_Objet;Item_Weight;Item_Fat_Content;ID_Fat_Content;Item_Visibility;Item_Type;ID_Item_Type;Item_MRP;Outlet_Identifier;ID_Outlet_Identifier;Outlet_Establishment_Year;Outlet_Size;ID_Outlet_Size;Outlet_Location_Type;ID_Outlet_Location_Type;Outlet_Type;ID_Outlet_Type;Item_Outlet_Sales
FDV60;1063;20.2;Regular;2;11.7543713;Baking Goods;1;197.311;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;3338.987
FDE32;337;20.7;Low Fat;1;4.8718334;Fruits and Vegetables;7;38.7506;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;227.7036
NCI30;1343;20.25;Low Fat;1;5.91756;Household;10;245.046;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;4680.574000000001
FDS37;895;7.655;Low Fat;1;3.1918284;Canned;4;117.7492;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;695.0952
DRC01;9;5.92;Regular;2;1.9308607;Soft Drinks;15;49.0692;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1478.076
DRD27;23;18.75;Low Fat;1;2.3974769;Dairy;5;99.0042;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;694.4294
FDI12;476;9.395;Regular;2;10.0602552;Baking Goods;1;88.3856;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;703.0848
FDQ33;798;13.35;Low Fat;1;9.1189915;Snack Foods;14;149.3708;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;4514.124
NCB07;1272;19.2;Low Fat;1;12.973174699999998;Household;10;196.211;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;589.2330000000002
FDC08;241;19.0;Regular;2;10.3363904;Fruits and Vegetables;7;226.172;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;3169.208
FDD20;290;14.15;Low Fat;1;2.0714523;Fruits and Vegetables;7;124.2046;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2490.092
FDS24;884;20.85;Regular;2;6.2212713;Baking Goods;1;88.1514;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1151.1682
FDH34;452;8.63;Low Fat;1;3.1271134;Snack Foods;14;186.0582;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;3900.9222
NCX30;1531;16.7;Low Fat;1;2.6729068;Household;10;248.4776;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;6439.6176
FDM01;616;7.895;Regular;2;9.4567181;Breakfast;3;104.5332;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1845.5976
FDB20;205;7.72;Low Fat;1;5.193741;Fruits and Vegetables;7;77.9986;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;934.7832
NCK29;1366;5.615;Low Fat;1;12.6480422;Health and Hygiene;9;121.573;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;3202.498
FDS11;873;7.05;Regular;2;5.5644887;Breads;2;224.9088;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;2684.5056
NCV41;1512;14.35;Low Fat;1;2.8519419;Health and Hygiene;9;109.2228;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;221.0456
DRL60;122;8.52;Low Fat;1;2.7101431;Soft Drinks;15;151.7682;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;2439.4912
FDV10;1021;7.645;Regular;2;6.7083367;Snack Foods;14;44.0112;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;596.5568
FDV09;1020;12.1;Low Fat;1;2.0652362;Snack Foods;14;149.5734;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;2227.101
FDQ39;802;14.8;Low Fat;1;8.1042136;Meat;11;192.4846;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;5159.2842
DRE49;36;20.75;Low Fat;1;2.1336565;Soft Drinks;15;153.6024;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1366.2216
FDR45;852;10.8;Low Fat;1;2.9001987000000007;Snack Foods;14;238.6222;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;8604.7992
DRJ23;93;18.35;Low Fat;1;6.974516499999999;Hard Drinks;8;190.2872;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;378.1744
FDQ26;793;13.5;Regular;2;6.814888599999999;Dairy;5;58.6562;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;711.0744
NCA06;1262;20.5;Low Fat;1;14.4094079;Household;10;34.819;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1061.951
FDT24;933;12.35;Regular;2;18.6616421;Baking Goods;1;78.6328;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1004.0264
DRG27;58;8.895;Low Fat;1;10.5323859;Dairy;5;39.1138;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;609.207
FDR02;818;16.7;Low Fat;1;2.2110425;Dairy;5;110.8886;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;3558.0352
DRG37;60;16.2;Low Fat;1;1.9374768;Soft Drinks;15;155.8972;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;2025.3636
FDJ07;510;7.26;Low Fat;1;1.4482278000000002;Meat;11;118.115;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1864.24
FDP32;753;6.65;Low Fat;1;8.7805788;Fruits and Vegetables;7;126.7678;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;1907.517
FDV59;1062;13.35;Low Fat;1;4.802704299999999;Breads;2;218.9166;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;5660.6316
FDP60;772;17.35;Low Fat;1;5.5908267999999985;Baking Goods;1;99.8016;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;607.2096
FDK26;557;5.46;Regular;2;3.2359412999999995;Canned;4;187.424;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;3169.208
FDW28;1087;18.25;Low Fat;1;8.8807455;Frozen Foods;6;197.3452;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;2740.4328
FDP56;768;8.185;Low Fat;1;4.6556408000000005;Fruits and Vegetables;7;47.7692;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;640.4996
FDT25;934;7.5;Low Fat;1;5.0750977000000015;Canned;4;122.2072;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1960.1152
FDQ12;781;12.65;Low Fat;1;3.5404052000000004;Baking Goods;1;230.601;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;2067.309
FDR60;864;14.3;Low Fat;1;13.039045800000002;Baking Goods;1;77.2328;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;231.6984
FDZ10;1220;17.85;Low Fat;1;7.442276899999999;Snack Foods;14;128.002;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;253.004
FDM13;624;6.425;Low Fat;1;10.5742544;Breakfast;3;130.5626;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;131.1626
FDF26;372;6.825;Regular;2;4.6729336;Canned;4;153.4998;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2153.1972
NCI30;1343;20.25;Low Fat;1;5.8886477;Household;10;245.546;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1724.422
NCJ31;1356;19.2;Low Fat;1;18.293775;Others;12;243.0196;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;3615.294
FDB02;192;9.695;Regular;2;2.9223424;Canned;4;175.437;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2999.429
FDA11;154;7.75;Low Fat;1;4.3326511;Baking Goods;1;95.6436;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1134.5232
FDE04;320;19.75;Regular;2;1.8051091;Frozen Foods;6;179.866;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;2696.49
FDW38;1095;5.325;Regular;2;23.212188;Dairy;5;55.5298;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;53.9298
FDY11;1172;6.71;Regular;2;2.9727657;Baking Goods;1;66.6142;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1120.5414
FDX60;1163;14.35;Low Fat;1;8.052706500000001;Baking Goods;1;79.296;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;719.064
NCN29;1410;15.2;Low Fat;1;6.396817760952247;Health and Hygiene;9;47.8034;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;437.4306
FDT07;918;5.82;Regular;2;6.396817760952247;Fruits and Vegetables;7;256.633;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;2050.664
FDI21;482;5.59;Regular;2;5.6833394;Snack Foods;14;61.9168;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1214.4192
FDI41;495;18.5;Regular;2;6.225692099999999;Frozen Foods;6;148.0418;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2059.9852
FDQ28;795;14.0;Regular;2;6.0427062000000005;Frozen Foods;6;153.5656;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;3089.312
FDY32;1188;7.605;Low Fat;1;21.6323008;Fruits and Vegetables;7;165.021;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;815.605
FDH12;437;9.6;Low Fat;1;8.512595099999999;Baking Goods;1;107.128;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1278.336
FDJ27;522;17.7;Regular;2;12.256541300000002;Meat;11;103.8674;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1528.011
DRL35;117;15.7;Low Fat;1;6.396817760952247;Hard Drinks;8;43.377;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;129.83100000000002
NCY29;1540;13.65;Low Fat;1;7.7670981;Health and Hygiene;9;55.093;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1301.639
FDC21;250;14.6;Regular;2;4.3201813;Fruits and Vegetables;7;110.1254;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1844.9318
FDM33;636;15.6;Low Fat;1;8.8215871;Snack Foods;14;220.1798;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;5068.7354
DRJ39;98;20.25;Low Fat;1;3.6295834000000005;Dairy;5;217.5482;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1095.241
FDB22;207;8.02;Low Fat;1;18.6528819;Snack Foods;14;151.9998;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;307.5996
FDC32;256;18.35;Low Fat;1;9.9026525;Fruits and Vegetables;7;93.8462;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1295.6468
FDD02;279;16.6;Low Fat;1;6.396817760952247;Canned;4;118.8124;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2607.2728
FDL28;597;10.0;Regular;2;6.3162607999999985;Frozen Foods;6;228.6668;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;3455.502
FDL39;603;16.1;Regular;2;6.3429818;Dairy;5;179.4318;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;2345.6134
FDA28;167;16.1;Regular;2;4.807226999999999;Frozen Foods;6;126.5362;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1761.7068
FDL04;581;19.0;Low Fat;1;11.2097433;Frozen Foods;6;105.5622;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;1905.5196
FDR10;824;17.6;Low Fat;1;1.0037996;Snack Foods;14;163.5552;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;3086.6488
FDA39;176;6.32;Low Fat;1;1.2789883999999998;Meat;11;39.1822;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1060.6194
FDR15;829;9.3;Regular;2;3.3431669000000004;Meat;11;153.1314;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;4653.942
FDQ40;803;11.1;Regular;2;3.623131;Frozen Foods;6;175.0712;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;3339.6528
FDU36;993;6.15;Low Fat;1;4.623244499999998;Baking Goods;1;99.4384;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1379.5376
FDF47;386;20.85;Low Fat;1;9.7618234;Starchy Foods;16;223.9746;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;897.4984
FDH14;438;17.1;Regular;2;4.680855299999998;Canned;4;141.4838;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1404.838
FDO45;719;13.15;Regular;2;3.8107379999999997;Snack Foods;14;86.3856;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;615.1992
FDK60;578;16.5;Regular;2;9.3846532;Baking Goods;1;95.7068;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1069.2748
FDS43;898;11.65;Low Fat;1;4.0744057;Fruits and Vegetables;7;185.924;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;4101.328
FDN44;678;13.15;Low Fat;1;2.2831052000000005;Fruits and Vegetables;7;160.292;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;4793.76
FDS34;892;19.35;Regular;2;7.687841599999999;Snack Foods;14;113.9518;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;1138.518
FDU20;979;19.35;Regular;2;2.1501067000000003;Fruits and Vegetables;7;122.2098;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2771.7254
FDP44;761;16.5;Regular;2;7.964723999999999;Fruits and Vegetables;7;101.4332;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1948.1308
FDC02;237;21.35;Low Fat;1;6.880946300000001;Canned;4;258.5278;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;5206.556
FDT56;959;16.0;Regular;2;11.5570552;Fruits and Vegetables;7;57.5246;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;173.7738
NCA06;1262;20.5;Low Fat;1;14.316437099999998;Household;10;34.919000000000004;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;73.238
FDE04;320;19.75;Regular;2;1.8008070999999999;Frozen Foods;6;180.466;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;3415.554
NCX06;1527;17.6;Low Fat;1;1.5775777000000002;Household;10;179.1976;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;3803.0496
FDX49;1154;4.615;Regular;2;10.2407778;Canned;4;234.33;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;3961.51
DRM59;130;5.88;Low Fat;1;0.3606726;Hard Drinks;8;154.1998;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1384.1982
FDJ34;526;11.8;Regular;2;9.3801337;Snack Foods;14;126.0704;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;1251.704
FDP60;772;17.35;Low Fat;1;6.396817760952247;Baking Goods;1;101.9016;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1821.6288
FDI07;472;12.35;Regular;2;3.3760862000000005;Meat;11;196.9426;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;5141.3076
FDH41;456;9.0;Low Fat;1;8.2177842;Frozen Foods;6;214.1534;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1720.4272
NCB31;1276;6.235;Low Fat;1;11.8858866;Household;10;263.291;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;3418.883
FDW34;1091;9.6;Low Fat;1;6.396817760952247;Snack Foods;14;244.817;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;4374.306
FDX45;1150;16.75;Low Fat;1;10.5448901;Snack Foods;14;156.16299999999995;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;782.315
FDH14;438;17.1;Regular;2;4.6881328;Canned;4;141.3838;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;1685.8056
FDF26;372;6.825;Regular;2;7.8057026;Canned;4;154.5998;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;153.7998
FDU24;983;6.78;Regular;2;14.0955857;Baking Goods;1;92.212;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;4101.328
FDX11;1122;16.0;Regular;2;10.7186944;Baking Goods;1;181.9634;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;3453.5046
FDF35;378;15.0;Low Fat;1;15.396020900000002;Starchy Foods;16;105.9938;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1179.1318
NCC43;1288;7.39;Low Fat;1;9.3160853;Household;10;251.3066;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1004.0264
FDG29;410;17.6;Low Fat;1;5.6291920000000015;Frozen Foods;6;42.5454;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;419.454
FDS44;899;12.65;Regular;2;15.604396;Fruits and Vegetables;7;239.6538;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;3845.6608
FDZ10;1220;17.85;Low Fat;1;4.446349099999999;Snack Foods;14;127.102;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2024.032
FDC52;272;11.15;Regular;2;0.8273010000000001;Dairy;5;150.4708;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1956.1204
DRL35;117;15.7;Low Fat;1;3.0697825;Hard Drinks;8;42.877;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1168.479
NCP55;1448;14.65;Low Fat;1;6.396817760952247;Others;12;56.4614;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;55.2614
FDL44;606;18.25;Low Fat;1;1.2300013;Fruits and Vegetables;7;160.4894;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;3073.9986
FDZ47;1249;20.7;Regular;2;6.396817760952247;Baking Goods;1;98.7042;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1884.8798
FDT45;950;15.85;Low Fat;1;5.7313443;Snack Foods;14;53.3956;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1364.89
FDN23;666;6.575;Regular;2;7.5625152;Breads;2;145.7444;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;3193.1768
NCP43;1444;17.75;Low Fat;1;3.0568918999999997;Others;12;177.866;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2336.958
FDF56;390;16.7;Regular;2;12.013795300000002;Fruits and Vegetables;7;181.2976;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;3078.6592
NCN26;1409;10.85;Low Fat;1;2.8679894;Household;10;115.1808;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2109.2544
FDD22;292;10.0;Low Fat;1;9.9804623;Snack Foods;14;113.7544;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;3243.7776
FDU15;976;13.65;Regular;2;4.4526443;Meat;11;37.9532;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;71.9064
FDB41;222;19.0;Regular;2;16.2882227;Frozen Foods;6;46.8718;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;189.0872
FDZ35;1239;9.6;Regular;2;2.2404493;Breads;2;102.499;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;2579.975
FDT60;963;12.0;Low Fat;1;7.597564200000001;Baking Goods;1;124.1388;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;1486.0656
FDE51;351;5.925;Regular;2;9.644909;Dairy;5;43.8086;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;312.2602
NCQ06;1451;13.0;Low Fat;1;4.1816615000000015;Household;10;254.5014;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;4845.0266
FDS28;888;8.18;Regular;2;8.2867689;Frozen Foods;6;58.5588;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;171.7764
FDH32;450;12.8;Low Fat;1;7.6214289000000015;Fruits and Vegetables;7;96.541;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1834.279
FDW37;1094;19.2;Low Fat;1;12.4301968;Canned;4;89.7488;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2082.6224
FDY33;1189;14.5;Regular;2;9.7201128;Snack Foods;14;159.4262;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2705.1454
FDF17;367;5.19;Low Fat;1;4.2861968;Frozen Foods;6;196.811;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;3731.809
FDG56;426;13.3;Regular;2;7.139310000000001;Fruits and Vegetables;7;61.0536;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1592.5936
NCB18;1273;19.6;Low Fat;1;4.1256807;Household;10;88.8514;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;2125.2336
FDU14;975;17.75;Low Fat;1;3.4746076;Dairy;5;248.275;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;998.7
FDU22;981;12.35;Low Fat;1;9.3441604;Snack Foods;14;119.1124;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;3673.8844
NCV41;1512;14.35;Low Fat;1;1.7024598000000002;Health and Hygiene;9;109.8228;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;2099.9332
FDY52;1206;6.365;Low Fat;1;0.7363189;Frozen Foods;6;63.2536;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1225.072
NCP53;1446;14.75;Low Fat;1;3.2862976;Health and Hygiene;9;238.6906;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;4278.4308
FDC17;248;12.15;Low Fat;1;1.5484763;Frozen Foods;6;211.9928;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;631.1784
NCZ30;1551;6.59;Low Fat;1;2.6163192000000004;Household;10;121.5098;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;602.549
FDK03;544;12.6;Regular;2;7.3920438000000015;Dairy;5;255.6356;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;2797.6916
FDF29;374;15.1;Regular;2;1.9965179;Frozen Foods;6;130.531;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;908.817
FDI10;475;8.51;Regular;2;7.833908099999999;Snack Foods;14;172.9422;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1379.5376
FDA27;166;20.35;Regular;2;3.1102571;Dairy;5;257.2672;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;2045.3376
NCR41;1470;17.85;Low Fat;1;1.8097419;Health and Hygiene;9;96.9094;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1332.9316
FDR09;823;18.25;Low Fat;1;7.804121599999998;Snack Foods;14;258.4962;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;2848.9582
NCB06;1271;17.6;Low Fat;1;8.226356;Health and Hygiene;9;160.49200000000005;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;1278.336
DRE27;33;11.85;Low Fat;1;22.206335100000004;Dairy;5;99.6726;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;195.7452
FDL56;613;14.1;Low Fat;1;12.6292985;Fruits and Vegetables;7;88.6198;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;1133.8574
FDT09;920;15.15;Regular;2;1.2260981000000002;Snack Foods;14;131.7284;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1186.4556
DRH03;66;17.25;Low Fat;1;5.869048;Dairy;5;91.612;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;93.212
NCQ53;1461;17.6;Low Fat;1;1.8982338;Health and Hygiene;9;237.05900000000003;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;2836.308
NCT18;1489;14.6;Low Fat;1;5.9405152;Household;10;179.6976;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;3621.952
FDL43;605;10.1;Low Fat;1;2.7059264;Meat;11;76.467;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1761.0410000000006
FDJ53;537;10.5;Low Fat;1;7.124443799999999;Frozen Foods;6;119.2098;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;1325.6078
NCQ02;1449;12.6;Low Fat;1;0.7455054;Household;10;186.9556;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;3942.8676
NCJ05;1349;18.7;Low Fat;1;4.6088273;Health and Hygiene;9;153.6682;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;3506.7686
FDT40;947;5.985;Low Fat;1;9.6185556;Frozen Foods;6;127.1678;OUT018;4;2009;Medium;2;Tier 3;3;Supermarket Type2;3;3560.6984
FDA48;183;12.1;Low Fat;1;11.487406;Baking Goods;1;221.4114;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;5099.3622
FDV37;1044;13.0;Regular;2;8.3643716;Canned;4;196.0426;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;2570.6538
FDX07;1118;19.2;Regular;2;2.2965292;Fruits and Vegetables;7;181.695;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2563.33
DRG48;62;5.78;Low Fat;1;1.4584583999999998;Soft Drinks;15;146.3102;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;2187.153
FDF44;383;7.17;Regular;2;5.9716729000000015;Fruits and Vegetables;7;130.9968;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;2348.9424
FDS24;884;20.85;Regular;2;6.2224479000000015;Baking Goods;1;88.1514;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1682.4766
NCQ50;1460;18.75;Low Fat;1;3.4360687000000008;Household;10;215.7218;OUT049;8;1999;Medium;2;Tier 1;1;Supermarket Type1;2;4274.436
FDT25;934;7.5;Low Fat;1;5.0708743;Canned;4;123.4072;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;3185.1872
FDO03;690;10.395;Regular;2;3.6957777;Meat;11;230.5352;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;4580.7040000000015
FDJ55;538;12.8;Regular;2;2.3530953;Meat;11;223.5404;OUT046;7;1997;Small;4;Tier 1;1;Supermarket Type1;2;1800.3232
FDM36;638;11.65;Regular;2;5.8681957;Baking Goods;1;170.4422;OUT013;2;1987;High;1;Tier 3;3;Supermarket Type1;2;517.3266
FDM21;629;20.2;Low Fat;1;6.4728148;Snack Foods;14;258.0646;OUT017;3;2007;None;3;Tier 2;2;Supermarket Type1;2;5668.6212
FDK58;577;11.35;Regular;2;6.396817760952247;Snack Foods;14;103.0016;OUT035;5;2004;Small;4;Tier 2;2;Supermarket Type1;2;2125.2336
FDD26;294;8.71;Regular;2;12.0773451;Canned;4;186.5924;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;555.2772
FDW57;1110;8.31;Regular;2;11.591197199999998;Snack Foods;14;177.3028;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;1948.1308
FDT32;939;19.0;Regular;2;10.985775;Fruits and Vegetables;7;188.8214;OUT010;1;1998;None;3;Tier 3;3;Grocery Store;1;188.4214
FDT25;934;7.5;Low Fat;1;5.0853901;Canned;4;121.7072;OUT045;6;2002;None;3;Tier 2;2;Supermarket Type1;2;367.5216
